judul,tanggal,isi,kategori
Normalkah Mimpi Basah Saat Dewasa? Ini Penyebab dan Cara Mencegahnya,"Jumat, 29 Nov 2024 20:00 WIB","Jakarta - Umumnya, mimpi basah terjadi pada anak usia remaja sebagai tanda pubertas. Tapi normalkah mimpi basah saat dewasa atau bahkan setelah menikah? Dalam artikel ini akan kita ulas mengenai penyebab dan cara mencegahnya. Normalkah Mimpi Basah Saat Dewasa? Dilansir dari Healthy Male, mimpi basah biasanya terjadi pada masa puber, yakni kisaran usia 9-15 tahun. Pada masa tersebut, tubuh pria memproduksi lebih banyak hormon testosteron, yang menyebabkan tubuh memproduksi sperma. Perkembangan usia ini juga disertai perubahan pikiran dan perasaan seputar seks. Pada saat inilah mimpi basah mungkin mulai terjadi. Pada umumnya, mimpi basah normal terjadi pada siapa saja. Ini juga bukan menjadi tanda masalah kesehatan atau penyakit. Mimpi basah juga bisa terjadi meski sudah dewasa, bahkan setelah menikah. Tidak ada kriteria usia yang membuat seseorang berhenti mimpi basah. Mengenai frekuensinya, setiap orang bisa mengalaminya dengan frekuensi yang berbeda-beda. Ada yang seumur hidupnya hanya mengalami sekali, ada yang rutin, bahkan ada yang tidak pernah sama sekali. Semua itu normal saja terjadi. Penyebab Mimpi Basah Saat Dewasa Dilansir dari Verywell Health, darah mengalir lebih lancar ke seluruh tubuh, tak terkecuali ke organ seksual. Oleh karenanya para pria mengalami ereksi saat tidur. Tidak ada penyebab pasti mengenai terjadinya mimpi basah. Namun beberapa hal di bawah ini memungkinkan seseorang mengalami mimpi basah, antara lain: 1. Mimpi Seksual Orang yang mengalami mimpi basah biasanya didahului dengan mimpi seksual atau erotis. Tapi belum tentu orang yang bermimpi demikian pasti mengalami mimpi basah. 2. Peningkatan Hormon Testosteron Mimpi basah dikaitkan dengan kadar testosteron yang tinggi. Hormon seks pria akan mengalami peningkatan karena beberapa faktor, misalnya usia puber, saat memiliki hasrat seks atau libido tinggi, atau faktor makanan yang meningkatkan hormon ini. 3. Alat Kelamin Terstimulasi Mimpi basah juga mungkin terjadi ketika alat kelamin terstimulasi, misalnya ketika bergesekan dengan benda lain seperti celana, sprei, atau guling. Cara Mencegah Mimpi Basah Berdasarkan situs Medical News Today, mimpi basah tidak benar-benar bisa dicegah, karena hal ini terjadi saat tidur dan bukan merupakan kesengajaan. Namun ada beberapa hal yang patut dicoba untuk mencegahnya, antara lain dengan cara berikut: Menyalurkan hasrat seksual dengan rutin, misalnya berhubungan seks dengan istri. Menghindari tidur tengkurap yang membuat alat kelamin mudah terstimulasi. Jika merasa tidak nyaman dengan mimpi basah, konsultasikan dengan dokter. Anda mungkin mendapatkan resep obat seperti antidepresan. Nah, telah kita ketahui mimpi basah saat dewasa adalah hal normal, karena hal ini bisa terjadi pada siapa saja, kapan saja, dengan berbagai frekuensi. Tapi jika merasa hal ini menjadi masalah, konsultasikan dengan dokter. (bai/fds)",Kesehatan
Kebiasaan Sehat yang Wajib Dilakukan di Umur 30 Biar Nggak Cepat Tua,"Jumat, 29 Nov 2024 19:00 WIB","Jakarta - Memasuki usia 30-an sering kali dianggap sebagai titik saat seseorang mulai merasakan tanda-tanda penuaan. Pada fase ini, banyak orang memiliki keinginan untuk hidup lebih lama dan lebih sehat. Dengan menerapkan pola hidup yang sehat, usia 30-an bisa menjadi periode yang lebih sejahtera. Berikut merupakan cara yang dilakukan saat usia 30-an agar hidup lebih panjang dan sehat, dikutip dari Very Well Health. 1. Menjaga Berat Badan yang Sehat Menjaga berat badan ideal lebih mudah dilakukan di usia 30-an dibandingkan usia 40-an. Seiring bertambahnya usia, metabolisme melambat dan massa otot menurun, sehingga mengendalikan berat badan menjadi lebih menantang. Untuk itu, penting mengembangkan kebiasaan makan sehat seperti mengonsumsi buah-buahan, sayuran, kacang-kacangan, serta memilih daging tanpa lemak. Dengan fokus pada perubahan kecil yang berkelanjutan, serta meningkatkan asupan protein dan serat, peluang untuk menjaga berat badan ideal akan lebih besar. 2. Prioritaskan Olahraga Meski jadwal padat, meluangkan waktu untuk berolahraga sangat penting. Dengan berolahraga secara teratur, tubuh akan lebih energik, tidur lebih nyenyak, dan produktivitas meningkat. Mencoba rutin berolahraga selama dua minggu sebagai percobaan, karena kebiasaan ini bisa menyatu dengan rutinitas tanpa mengganggu aktivitas lain. 3. Tidur dengan Cukup Tidur yang berkualitas adalah kunci kesehatan di usia 30-an. Luangkan waktu untuk membangun pola tidur yang baik, seperti tertidur dalam waktu 30 menit setelah berbaring dan memenuhi kebutuhan tidur setiap malam. Kurang tidur dapat meningkatkan stres, yang memicu makan berlebihan dan menurunkan performa harian. 4. Relaksasi Relaksasi harus menjadi bagian dari rutinitas harian. Kebiasaan ini bisa mencegah berbagai penyakit yang berkaitan dengan stres. Teknik relaksasi seperti yoga dan meditasi dapat membantu mengelola stres serta meningkatkan perasaan rileks dan tenang. 5. Merawat Kulit Secara Teratur Merawat kulit juga menjadi prioritas di usia ini. Penggunaan tabir surya setiap hari, meski sederhana, efektif untuk melindungi kulit dari sinar UV yang dapat menyebabkan penuaan dini dan kanker kulit. Selain itu, perawatan rutin menggunakan pembersih dan pelembap yang lembut dapat membantu menjaga elastisitas dan kelembutan kulit dalam jangka panjang. 6. Makan Lebih Banyak Sayuran Sayur dan buah merupakan makanan terbaik untuk mendukung kesehatan tubuh. Mengonsumsi sayuran secara rutin dapat menjaga kesehatan jantung dan mendukung penuaan yang sehat. Sayuran kaya akan nutrisi yang penting untuk mencegah penyakit jantung, salah satu penyebab kematian utama. 7. Minum Air yang Cukup Memastikan tubuh tetap terhidrasi penting untuk mencegah berbagai masalah kesehatan, seperti gangguan ginjal dan jantung. Jumlah air yang dibutuhkan setiap orang bisa berbeda, namun secara umum, minum 4 hingga 6 gelas air per hari sudah cukup untuk memenuhi kebutuhan tubuh. Memantau warna urine adalah cara efektif untuk mengetahui apakah tubuh terhidrasi dengan baik. 8. Menyeimbangkan Kehidupan Pribadi dan Pekerjaan Di usia 30-an, menjaga keseimbangan antara kehidupan pribadi dan pekerjaan juga sangat penting. Pada fase ini, karier sering kali berkembang pesat, bersamaan dengan tanggung jawab dalam hubungan atau keluarga. Memastikan bahwa keseimbangan sudah tercapai dan membuat perubahan yang diperlukan dapat membantu mengurangi stres serta menjaga kesehatan secara keseluruhan. (kna/kna)",Kesehatan
"5 Manfaat Rutin Minum Jus Tomat, Jaga Kesehatan Jantung hingga Cegah Kanker","Jumat, 29 Nov 2024 18:10 WIB","Jakarta - Jus tomat merupakan salah satu minuman yang dikonsumsi oleh banyak orang di dunia. Tidak hanya rasanya yang enak, nyatanya jus tomat dapat memberikan sederet manfaat kesehatan bagi tubuh. Berdasarkan penelitian, mengonsumsi jus tomat setiap hari dapat membantu tubuh untuk menghindari beberapa jenis penyakit. Disarankan untuk mengonsumsi jus tomat 2 hari sekali untuk membantu penyerapan nutrisi oleh tubuh. Lantas, apa saja manfaatnya? Dikutip dari MedicineNet, berikut adalah 5 manfaat rutin mengonsumsi jus tomat: 1. Menjaga Kesehatan Usus Nutrisi yang ada di dalam jus tomat memiliki hubungan yang positif dengan organ usus (mikrobioma usus). Mikrobioma yang baik memiliki efek positif pada banyak aspek kesehatan tubuh manusia. Usus dapat berinteraksi dengan area tubuh lainnya, termasuk organ otak, dan penelitian terkini menunjukkan bahwa menjaga ekologi mikroba internal yang sehat berperan penting untuk kesehatan tubuh secara menyeluruh. 2. Meningkatkan Sistem Kekebalan Tubuh Jus tomat kaya akan vitamin C. Bergantung pada jenisnya, satu cangkir jus tomat dapat mengandung antara 67 sampai 170 mg vitamin C. Vitamin C dapat membantu penyerapan zat besi yang dapat membantu tubuh dalam regenerasi antioksidan vitamin E. Hal tersebut bermanfaat bagi sistem kekebalan tubuh manusia dan memiliki kualitas anti-kanker. 3. Mencegah Penyakit Jantung Berbagai penelitian mengatakan kandungan likopen dalam jus tomat dikaitkan dengan perlindungan terhadap organ jantung. Selain likopen, manfaat tomat untuk mengurangi risiko penyakit kardiovaskular juga didapatkan dari beta-karoten dan gamma-karoten. Komponen tersebut dapat membantu menurunkan kadar kolesterol lipoprotein densitas rendah (LDL) atau kolesterol 'jahat', sekaligus mencegah kolesterol LDL oksidasi dan aterosklerosis. Nutrisi yang ada di dalam jus tomat dapat membantu tubuh untuk menjaga darah tetap sehat. 4. Menurunkan Risiko Kanker Prostat Berdasarkan tinjauan ilmiah studi dan laporan pencegahan kanker, terdapat sebuah bukti substansial bahwa mengonsumsi jus tomat yang mengandung likopen dapat membantu untuk menlindungi tubuh terhadap kanker. Salah satunya adalah berpotensi menurunkan risiko kanker prostat sampai dengan 11 persen. 5. Mengontrol Berat Badan Tomat mengandung tinggi serat, terutama serat tidak larut sebanyak lebih dari 80 persen. Serat tidak larut merupakan serat yang tidak dicerna oleh tubuh. Hal tersebut dapat membuat tubuh merasa lebih kenyang dan menghindari makan secara berlebihan. (kna/kna)",Kesehatan
"Laki-laki Buncit Otaknya 'Menyusut' 10 Tahun Lebih Tua, Rentan Kena Demensia","Jumat, 29 Nov 2024 17:00 WIB","Jakarta - Selain masalah kardiovaskular, laki-laki dewasa yang obesitas berisiko tinggi mengalami demensia di usia tua. Usia otak mereka juga diperkirakan menyusut setara dengan 10 tahun lebih tua. Hasil ini berdasarkan studi yang dilakukan peneliti Inggris setelah mengamati data dari 34.425 peserta di UK Biobank yang telah menjalani pemindaian perut dan otak. Usia rata-rata peserta adalah 63 tahun, berkisar antara 45 hingga 82 tahun. Penelitian mereka, yang dipublikasikan dalam Journal of Neurology, Neurosurgery & Psychiatry, mencatat bahwa area otak yang paling terpengaruh oleh perubahan ini meliputi area yang bertanggung jawab atas pemrosesan pendengaran, persepsi visual, pengaturan emosi, dan memori. Diberitakan Medical News Today, risiko kardiovaskular yang tinggi dan obesitas berkontribusi terhadap penurunan volume otak secara bertahap selama beberapa dekade. Daerah otak yang paling terpengaruh adalah lobus temporal, yang terletak di korteks serebral, lapisan luar otak. Daerah-daerah ini memainkan peran penting dalam memproses informasi pendengaran, penglihatan, dan emosi, serta memori, fungsi-fungsi yang termasuk yang pertama menurun pada tahap awal demensia. Dampak luas risiko kardiovaskular pada berbagai bagian otak menunjukkan bahwa hal itu dapat membahayakan banyak aspek pemikiran dan memori. Jonathan Rasouli, MD, dari Departemen Bedah Saraf di Rumah Sakit Universitas Northwell Staten Island, yang tidak terlibat dalam penelitian ini mengatakan bahwa studi tersebut menunjukkan bagaimana kesehatan jantung dan berat badan memengaruhi otak, terutama seiring bertambahnya usia. ""Para peneliti juga menemukan bahwa risiko ini tidak sama untuk semua orang. Wanita, misalnya, lebih mungkin mengalami masalah kesehatan otak yang terkait dengan risiko ini di kemudian hari, biasanya setelah menopause. Ini memberi tahu kita bahwa pria dan wanita mungkin memerlukan strategi yang berbeda untuk menjaga otak mereka tetap sehat,"" jelas Rasouli. BACA JUGA (kna/kna)",Kesehatan
"Florence Pugh Idap PCOS, Bekukan Sel Telurnya di Umur 27 Biar Bisa Punya Anak","Jumat, 29 Nov 2024 16:00 WIB","Jakarta - Florence Pugh memutuskan membekukan sel telurnya di umur 27 tahun setelah ketahuan mengidap sindrom ovarium polikistik atau polycystic ovarian syndrome (PCOS) dan endometriosis. Keputusan itu diambilnya agar tetap bisa memiliki anak di masa depan. ""Saya mendapat informasi yang sama sekali berbeda saat berusia 27 tahun bahwa saya perlu membekukan sel telur saya dan melakukannya dengan cepat, yang merupakan suatu kesadaran yang membingungkan dan saya sangat, sangat beruntung dan senang telah mengetahuinya karena saya telah menginginkan anak sejak saya masih kecil,"" kata Pugh dalam sebuah wawancara dikutip dari The Glamour UK, Jumat (29/11/2024). PCOS adalah penyakit ketika ovum atau sel telur pada perempuan tidak berkembang secara normal karena ketidakseimbangan hormon. Sementara endometriosis adalah kondisi umum dan sering kali menyakitkan yang terjadi ketika jaringan yang mirip dengan lapisan rahim tumbuh di luar rahim itu sendiri. Tanda-tanda PCOS yang jelas dapat mencakup ""perubahan siklus menstruasi, perubahan kulit seperti peningkatan rambut wajah dan tubuh serta jerawat, pertumbuhan abnormal pada ovarium, dan infertilitas,"" Menurut Organisasi Kesehatan Dunia, kondisi kronis ini memengaruhi sekitar 8 persem hingga 13% persen wanita dan anak perempuan usia reproduksi di seluruh dunia. Sayangnya sebanyak 70 persen pengidap PCOS tidak terdiagnosis atau tidak mengetahui kondisinya. Pugh mengatakan bahwa ia berharap berbicara tentang pengalamannya akan membantu meningkatkan kesadaran mengenai penyakit tersebut. ""Saya merasa sangat kecewa untuk semua wanita muda yang akan mengetahui hal ini terlambat, dan akan mengetahuinya saat mereka mulai memiliki anak di usia tiga puluhan,"" tutur Pugh. (kna/kna)",Kesehatan
"RI Dibayangi 'Post Antibiotic Era': Obat Tak Lagi Mempan, Anak Paling Rentan","Jumat, 29 Nov 2024 15:30 WIB","Jakarta - Resistensi mikroba paling rentan menyerang kelompok anak baru lahir. Dokter spesialis anak dr Arifianto SpA, (K), mengungkap tidak sedikit bayi yang terkena mikroba 'kebal' antibiotik saat memerlukan perawatan intensif di rumah sakit. Utamanya, pada pasien anak dengan kebutuhan inkubator untuk memastikan paru-parunya 'kuat', juga bayi dengan kondisi lahir prematur. ""Kami sering mendapatkan bayi prematur dan kondisi lain, yang awalnya mungkin masuknya hanya sesak napas, paru-parunya belum matang dan membutuhkan inkubator, rawat inap, ternyata mengalami masuknya kuman bakteri,"" bebernya dalam diskusi awam, Jumat (29/11/2024). ""Kuman yang sudah tidak mempan diberikan antibiotik golongan pertama, bahkan sampai ketiga, akhirnya bayi-bayi ini meninggal bukan karena kondisi tadi misalnya prematurnya, atau paru-parunya belum bertahan, tetapi karena kuman 'kebal' antibiotik yang nebeng semasa perawatan,"" tandas dia. Risiko yang sama juga dihadapi para pasien anak yang mengidap penyakit kronis dan membutuhkan perawatan jangka panjang di rumah sakit. dr Arifianto mengingatkan akan ada suatu masa dunia termasuk Indonesia memasuki 'post antibiotic era', bila tren tersebut terus berlanjut. ""Para ilmuwan sudah memprediksi akan ada suatu masa yang disebut sebagai post antibiotic era, zaman ketika tidak ada satupun antibiotik yang mempan, mungkin kita tak merasakannya, tapi anak cucu kita bisa jadi merasakannya,"" kata dia. Next: Apa Itu 'Post Antibiotic Era'? Halaman 1 2 Selanjutnya",Kesehatan
"Kate Middleton Berduka, Kenang Pasien Kanker yang Meninggal di Umur 17 Tahun","Jumat, 29 Nov 2024 15:00 WIB","Jakarta - Kate Middleton menyampaikan rasa duka yang mendalam atas kematian Liz Hatton, seorang gadis berusia 17 tahun setelah berjuang melawan kanker langka. Liz Hatton sempat bertemu dengan Pangeran dan Putri Wales itu di Kastil Windsor pada tanggal 2 Oktober, untuk membantu memenuhi sebagian dari impian ""daftar keinginan"" fotografi remaja tersebut. ""Kami sangat sedih mendengar bahwa Liz Hatton telah meninggal dunia. Merupakan suatu kehormatan untuk bertemu dengan seorang wanita muda yang pemberani dan rendah hati,"" tulis Kate Middleton dan Pangeran William di akun media sosialnya dikutip Jumat (29/11/2024). [Gambas:Twitter] Postingan tersebut ditandai dengan ""W & C,"" inisial nama depan yang mereka tambahkan ke pernyataan untuk menunjukkan bahwa pesan tersebut lebih bersifat pribadi dan datang langsung dari keduanya. Mengutip BBC , Liz Hatton didiagnosis tumor sel bulat kecil desmoplastik, suatu bentuk kanker yang langka dan agresif pada bulan Januari 2024. Dokter memberinya prognosis hidup selama enam bulan hingga tiga tahun. Sifat kankernya yang langka berarti saat ini belum ada perawatan standar untuk penyakit tersebit Kate, yang juga dirawat karena kanker tahun ini, dan William menggambarkan Liz dalam pesan sebelumnya sebagai ""fotografer muda berbakat yang kreativitas dan kekuatannya telah menginspirasi kami berdua"". (kna/kna)",Kesehatan
Tiap 4 Menit Satu Warga +62 Meninggal karena Bakteri 'Kebal' Antibiotik,"Jumat, 29 Nov 2024 14:32 WIB","Jakarta - Resistensi antimikroba menjadi ancaman serius lantaran bisa memicu pengobatan infeksi bakteri tidak lagi mempan saat diberikan antibiotik. dr Robert Sinto dari Divisi Penyakit Tropik dan Infeksi Departemen Ilmu Penyakit Dalam RS Cipto Mangunkusumo (RSCM) mengungkap berdasarkan proyeksi dua tahun lalu, tercatat lebih dari 150 ribu kematian akibat resistensi antimikroba di Indonesia. ""Yang artinya, setiap 4 menit ada satu orang meninggal karena antimikroba,"" terangnya dalam diskusi awam, Jumat (29/11/2024). Estimasi kematian akibat resistensi antimikroba terus meningkat hingga 1 juta jiwa setiap tahun di Tanah Air. Sejalan dengan temuan apotek yang memberikan antibiotik sesuai indikasi dengan resep dokter, juga hanya berkisar 20 persen. ""Semakin ke sini, semakin banyak kuman yang kebal dengan antibiotik yang kita miliki. Sementara penciptaan antibiotik baru itu hitungannya sangat-sangat lambat, bayangkan satu waktu di kemudian hari anak cucu kita bisa terkena kuman atau infeksi sederhana, tetapi kejadiannya sama seperti dulu, kita belum punya antibiotik,"" lanjut dia. dr Sinto mencontohkan, dalam beberapa kasus kanker dan stroke, kemungkinan pemicu kematiannya berkaitan dengan infeksi bakteri yang tidak mempan diberikan antibiotik. Artinya, tidak semata-mata tunggal karena penyakit yang diidap. Apa Pemicunya? Pemicu utama resistensi antimikroba berkaitan dengan penggunaan antibiotik yang tidak tepat. Terbagi dalam tiga faktor. Pertama, banyak pasien kerap meminta resep antibiotik kepada dokter dengan dalih masa pemulihan lebih cepat. ""Pasien sering merasa tidak sembuh ketika tidak diberikan antibiotik, maka secara halus meminta antibiotik supaya rasa nyaman tercapai, jadi intinya tidak ada indikasi, tetapi diberikan antibiotik,"" tuturnya. ""Kedua, sudah ada indikasi, tetapi antibiotiknya tidak dihabiskan sesuai anjuran,"" lanjut dia. Tidak hanya hubungan pasien dengan dokter, penanganan risiko 'pandemi tersembunyi' resistensi antimikroba ini perlu dinaungi oleh kementerian dan lembaga lain, mengingat pemicunya juga berkaitan dengan penggunaan antibiotik dalam campuran pakan ternak agar lebih awet. ""Jadi tidak heran bukan hanya Kemenkes, tetapi Kemenko PMK juga perlu,"" tandas dia. Belum lagi, kebiasaan membuang limbah antibiotik sembarangan yang membuat mikroba-mikroba di lingkungan menjadi semakin 'kebal'. Era Post Antibiotic Mengutip temuan para ilmuwan, dokter spesialis anak Arifianto menekankan akan ada suatu masa dunia termasuk Indonesia memasuki 'post antibiotic era'. ""Para ilmuwan sudah memprediksi akan ada suatu masa yang disebut sebagai post antibiotic era, zaman ketika tidak ada satupun antibiotik yang mempan, mungkin kita tak merasakannya, tapi anak cucu kita bisa jadi merasakannya,"" pungkas dia. (naf/up)",Kesehatan
Pemicu Penyakit Ginjal Autoimun IgA Nephropathy Seperti yang Diidap Abdee Slank,"Jumat, 29 Nov 2024 14:02 WIB","Jakarta - Abdee Slank tengah berjuang melawan sakit autoimun dan gagal ginjalnya. Saat ini, Abdee Negara masih menjalani rawat inap dan tetap cuci darah dua minggu sekali. ""Sudah seminggu atau dua minggu ya. Dia autoimun sama gagal ginjal. Dua penyakit kontradiksi ya. Kalau gagal ginjal kan udah lama ya, setelah 8 tahun mulai masalah-masalah lagi. Tadi kalau autoimunnya baru setahun"" ungkap Bimbim SLANK pada awak media di Duren Tiga, Jakarta Selatan pada Rabu (27/11/2024). Spesialis penyakit dalam dr Tunggul D Situmorang, SpPD-KGH, menjelaskan penyakit autoimun IgA Nephropathy (IgAN) merupakan kondisi saat immunoglobulin A sangat dominan di dalam jaringan ginjal. Hal itulah yang dapat merusak fungsi organ ginjal. ""Jadi, kalau pasien di biopsi akan terlihat itu, bahwa di glomerulus-nya atau jaringan ginjalnya ada pengendapan dari IgA,"" terangnya pada detikcom, Jumat (29/11). Dirinya mengatakan pemicu terbesar penyakti IgA nephropaty adalah gaya hidup. Tapi ada beberapa faktor yang berperan dalam mencetuskan gejalanya mulai dari gaya hidup sampai pola makan. ""Semua ada faktor keturunan. tapi, apakah direct atau tidak itu berbeda-beda. Sudah jelas dong. jadi itu sebenarnya yang dimaksudkan dengan faktor keturunan, sudah pasti semua ada faktor keturunan. tapi, sebesar apa perannya itu berbeda-beda,"" ujar dia. dr Tunggul mengungkapkan autoimun IgA Nephropathy ini kondisinya sangat luas. Pada beberapa orang, mungkin autoimun ini tidak menunjukkan gejala atau dapat sembuh dengan sendirinya. Ada juga pasien yang harus diobati dan bisa kembali pulih. Meski tidak bisa dipastikan 100 persen pulih, obat-obatan yang dikonsumsi dapat direspon dengan baik oleh tubuh. ""Tapi, ada juga yang diobati tidak sembuh, dan akhirnya gagal ginjal. Obat-obatan yang diberikan umumnya steroid, yang sama dengan obat untuk orang cangkok ginjal,"" jelas dr Tunggul. ""Namun pada perjalanannya, kita juga bisa perlambat. Tidak cepat-cepat menjadi gagal ginjalnya, jadi banyak pengobatan yang memang bisa dilakukan. Selain obat bisa dengan mengubah lifestyle, dietnya, dan faktor risiko lainnya,"" sambungnya. (sao/kna)",Kesehatan
"Resistensi Bakteri 'Kebal' Antibiotik di RI Makin Ngeri, BPOM Wanti-wanti soal Ini","Jumat, 29 Nov 2024 13:14 WIB","Jakarta - Kepala Badan Pengawas Obat dan Makanan (BPOM RI) Taruna Ikrar menyebut tren resistensi yang menyebabkan bakteri 'kebal' terhadap antibiotik terus meningkat di Indonesia. Hal ini juga terlihat dari pemantauan sarana layanan kefarmasian di apotek dan toko lain yang menjual antibiotik secara bebas tanpa resep dokter. ""Di Indonesia berturut-turut peningkatannya, dari 2021 hingga 2023 ada sekitar 79,5 persen apotek yang memberikan antibiotik tanpa resep. Artinya cuma 20 persen yang pemakaiannya sesuai dengan indikasi,"" beber Taruna dalam konferensi pers Jumat (29/11/2024). ""Di 2024 meskipun belum rampung pendataannya, tetapi sudah terlihat terus meningkat,"" lanjut dia. BPOM RI meminta sejumlah apoteker untuk mematuhi regulasi pemberian antibiotik dengan resep dokter. Bila tidak, bukan tidak mungkin pencabutan izin layanan dilakukan. ""BPOM sebagai lembaga yang mengusut ini menjadi lembaga penelitian kami, kita punya hak cara pemberian layanan nanti kita bisa cabut, ini warning,"" tandas dia. Taruna menekankan antibiotik bukanlah obat segala penyakit. Antibiotik hanya diberikan untuk infeksi bakteri dan dihabiskan sesuai anjuran dokter. Bila diberikan untuk lima hari pemakaian, sebaiknya dihabiskan sesuai dengan anjurannya, meski gejala terasa sudah mereda. Estimasi kematian akibat bakteri 'kebal' antibiotik bisa terus meningkat melampaui 10 juta kasus per tahun di Indonesia. ""Ini kita dalam bahaya besar, jangan kita anggap antibiotik ini sangat mudah diakses seperti permen, suplemen biasa, dampaknya luar biasa, rakyat Indonesia akan mengalami resistensi,"" bebernya. ""Dalam lima hingga 10 tahun lagi saya prediksi kita sudah resistensi terhadap banyak antibiotik, bahkan untuk antibiotik-antibiotik generasi baru. Ngeri sekali orang sakit apapun endingnya mati bukan karena penyakit infeksinya, tetapi karena tidak memiliki obat, bakteri resisten terhadap obat tersebut, "" lanjut dia. (naf/kna)",Kesehatan
